year,rank,title
2012년,1위,강남스타일
2012년,2위,Loving U (러빙유)
2012년,3위,나혼자 (Alone)
2012년,4위,I Love You
2012년,5위,All For You
2012년,6위,벚꽃 엔딩
2012년,7위,정말로 사랑한다면
2012년,8위,내 사랑아
2012년,9위,FANTASTIC BABY
2012년,10위,어땠을까 (Feat. 박정현)
2012년,11위,가슴이 시린 게
2012년,12위,I Need You
2012년,13위,뜨거운 안녕 (Feat. 성시경)
2012년,14위,illa illa (일라 일라)
2012년,15위,MONSTER
2012년,16위,나를 사랑했던 사람아
2012년,17위,Heaven
2012년,18위,바람기억
2012년,19위,Lovey-Dovey
2012년,20위,Like this
2012년,21위,Twinkle
2012년,22위,DAY BY DAY
2012년,23위,이러지마 제발 (Please Don`t...)
2012년,24위,한사람
2012년,25위,Missing You (Feat. 김윤아 of 자우림)
2012년,26위,시간을 거슬러
2012년,27위,Only One
2012년,28위,보여줄게
2012년,29위,그XX
2012년,30위,목소리 (Feat. 개리 of 리쌍)
2012년,31위,하루 끝
2012년,32위,Electric Shock
2012년,33위,"1,2,3,4 (원,투,쓰리,포)"
2012년,34위,먼지가 되어
2012년,35위,미치게 보고싶은
2012년,36위,BLUE
2012년,37위,미안해서 미안해 (Feat. 지나(G.NA))
2012년,38위,립스틱 (LIPSTICK)
2012년,39위,SEXY LOVE
2012년,40위,그댈 마주하는건 힘들어 (그마힘)
2012년,41위,사랑이라면
2012년,42위,여수 밤바다
2012년,43위,아름다운 밤
2012년,44위,첫사랑
2012년,45위,피어나
2012년,46위,남자도 우나요
2012년,47위,안되겠더라
2012년,48위,Good Boy (Feat. 용준형 of 비스트)
2012년,49위,크레용 (Crayon)
2012년,50위,Trouble Maker
2012년,51위,굿모닝 (Feat. 권정열 of 10cm)
2012년,52위,She`s Gone
2012년,53위,춥다 (Feat. 이하이)
2012년,54위,LOVE DAY
2012년,55위,우리 사랑 이대로
2012년,56위,"Officially missing you, too"
2012년,57위,Payphone (Feat. Wiz Khalifa)
2012년,58위,Volume Up
2012년,59위,High High
2012년,60위,충분히 예뻐 (feat. 산체스 of 팬텀)
2012년,61위,Touch
2012년,62위,"씨스루 (Feat. 개코, Zion.T)"
2012년,63위,살기 위해서
2012년,64위,너랑 나
2012년,65위,남자 없이 잘 살아
2012년,66위,되돌리다
2012년,67위,꽃송이가
2012년,68위,하지 못한 말
2012년,69위,Rolling In The Deep
2012년,70위,너뿐이야 (You`re the one)
2012년,71위,니가 싫어
2012년,72위,애상
2012년,73위,추격자
2012년,74위,너라서
